Losine comune,Losine comune.1
,
Losine – Veduta,Losine – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mario Chiappini[1] (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°59′03″N 10°19′01″E
Altitudine,368 m s.l.m.
Superficie,"6,26 km²"
Abitanti,644[2] (30-11-2025)
Densità,"102,88 ab./km²"
Comuni confinanti,"Braone, Breno, Cerveno, Malegno, Niardo"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017094
Cod. catastale,E698
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 768 GG[4]"
Nome abitanti,losinesi
Patrono,san Maurizio martire
Giorno festivo,22 settembre
Cartografia,Cartografia
Losine,Losine
Losine – MappaPosizione del comune di Losine nella provincia di Brescia,Losine – MappaPosizione del comune di Losine nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
