Berzo Demo comune,Berzo Demo comune.1
,
Berzo Demo – Veduta,Berzo Demo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Bernardi Giovan Battista (lista civica) dal 15-05-2023
Territorio,Territorio
Coordinate,46°05′38″N 10°20′04″E
Altitudine,785 m s.l.m.
Superficie,"15,46 km²"
Abitanti,1 444[1] (30-11-2025)
Densità,"93,4 ab./km²"
Frazioni,"Berzo (sede comunale), Demo, Monte, Forno d'Allione[2]"
Comuni confinanti,"Cedegolo, Cevo, Malonno, Paisco Loveno, Sellero, Sonico"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017016
Cod. catastale,A816
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 332 GG[4]"
Nome abitanti,berzesi demesi
Patrono,sant'Eusebio di Vercelli (Berzo) san Lorenzo (Demo) san Rocco (Monte)
Giorno festivo,2 agosto 10 agosto  16 agosto
Cartografia,Cartografia
Berzo Demo,Berzo Demo
Berzo Demo – MappaPosizione del comune di Berzo Demo nella provincia di Brescia,Berzo Demo – MappaPosizione del comune di Berzo Demo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
