Seniga comune,Seniga comune.1
,
Seniga – Veduta,Seniga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Elena Ferrari (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°14′36″N 10°10′41″E
Altitudine,48 m s.l.m.
Superficie,"13,57 km²"
Abitanti,1 450[1] (30-11-2025)
Densità,"106,85 ab./km²"
Frazioni,Regona
Comuni confinanti,"Alfianello, Gabbioneta-Binanuova (CR), Milzano, Ostiano (CR), Pralboino, Scandolara Ripa d'Oglio (CR)"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017177
Cod. catastale,I607
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 275 GG[3]"
Nome abitanti,senighesi
Patrono,san Vitale
Giorno festivo,28 aprile
Cartografia,Cartografia
Seniga,Seniga
Seniga – MappaPosizione del comune di Seniga nella provincia di Brescia,Seniga – MappaPosizione del comune di Seniga nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
