Orzinuovi comune,Orzinuovi comune.1
,
Orzinuovi – VedutaPiazza Vittorio Emanuele,Orzinuovi – VedutaPiazza Vittorio Emanuele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Laura Magli dal 10-6-2024
Territorio,Territorio
Coordinate,45°24′N 9°56′E
Altitudine,89 m s.l.m.
Superficie,"47,87 km²"
Abitanti,12 486[1] (30-11-2025)
Densità,"260,83 ab./km²"
Frazioni,"Barco, Coniolo, Ovanengo, Pudiano, Rossa"
Comuni confinanti,"Barbariga, Borgo San Giacomo, Orzivecchi, Pompiano, Roccafranca, San Paolo, Soncino (CR), Torre Pallavicina (BG), Villachiara"
Altre informazioni,Altre informazioni
Cod. postale,25034 e 25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017125
Cod. catastale,G149
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,orceani
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Orzinuovi,Orzinuovi
Orzinuovi – MappaPosizione del comune di Orzinuovi nella provincia di Brescia,Orzinuovi – MappaPosizione del comune di Orzinuovi nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
