Angolo Terme comune,Angolo Terme comune.1
,
Angolo Terme – VedutaMunicipio,Angolo Terme – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Cristian Zanelli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°53′32″N 10°08′55″E
Altitudine,426 m s.l.m.
Superficie,"30,56 km²"
Abitanti,2 327[1] (30-11-2025)
Densità,"76,15 ab./km²"
Frazioni,"Anfurro, Mazzunno, Terzano"
Comuni confinanti,"Azzone (BG), Borno, Castione della Presolana (BG), Colere (BG), Darfo Boario Terme, Piancogno, Rogno (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017006
Cod. catastale,A293
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 851 GG[3]"
Nome abitanti,angolesi
Patrono,san Lorenzo (Angolo Terme)santi Nazaro e Celso (Anfurro)san Giacomo (Mazzunno)santa Giulia (Terzano)san Bartolomeo (Prave)
Giorno festivo,10 agosto
Cartografia,Cartografia
Angolo Terme,Angolo Terme
Angolo Terme – MappaPosizione del comune di Angolo Terme nella provincia di Brescia,Angolo Terme – MappaPosizione del comune di Angolo Terme nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
