Rudiano comune,Rudiano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Andrea Gallina (lista civica Rudiano alternativa) dal 10-6-2024
Territorio,Territorio
Coordinate,45°29′N 9°53′E
Altitudine,117 m s.l.m.
Superficie,"9,85 km²"
Abitanti,5 916[1] (30-11-2025)
Densità,"600,61 ab./km²"
Comuni confinanti,"Calcio (BG), Chiari, Pumenengo (BG), Roccafranca, Urago d'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017167
Cod. catastale,H630
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,rudianesi
Cartografia,Cartografia
Rudiano,Rudiano
Rudiano – MappaPosizione del comune di Rudiano nella provincia di Brescia,Rudiano – MappaPosizione del comune di Rudiano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
