Roè Volciano comune,Roè Volciano comune.1
,
Roè Volciano – Veduta,Roè Volciano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mario Apollonio (lista civica Futuro per Roè Volciano) dal 26-5-2019
Territorio,Territorio
Coordinate,45°37′05.54″N 10°29′53.9″E
Altitudine,240 m s.l.m.
Superficie,"5,82 km²"
Abitanti,4 330[1] (30-11-2025)
Densità,"743,99 ab./km²"
Frazioni,"Agneto, Crocetta, Gazzane, Liano, Rucco, Tormini, Trobiolo, Volciano, Roè"
Comuni confinanti,"Gavardo, Salò, Villanuova sul Clisi, Vobarno"
Altre informazioni,Altre informazioni
Cod. postale,25077
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017164
Cod. catastale,H484
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 553 GG[3]"
Nome abitanti,volcianesi
Patrono,santi Pietro e Paolo
Cartografia,Cartografia
Roè Volciano,Roè Volciano
Roè Volciano – MappaPosizione del comune di Roè Volciano nella provincia di Brescia,Roè Volciano – MappaPosizione del comune di Roè Volciano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
