Marmentino comune,Marmentino comune.1
,
Marmentino – VedutaPanorama della frazione Dosso-Ville,Marmentino – VedutaPanorama della frazione Dosso-Ville
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Ilario Medaglia (lista civica Insieme per Marmentino) dal 27-5-2019
Territorio,Territorio
Coordinate,45°45′N 10°17′E
Altitudine,875 m s.l.m.
Superficie,"18,04 km²"
Abitanti,647[1] (30-11-2025)
Densità,"35,86 ab./km²"
Frazioni,"Dosso, Ombriano, Vaghezza, Ville"
Comuni confinanti,"Bovegno, Collio, Irma, Lodrino, Pertica Alta, Pertica Bassa, Pezzaze, Tavernole sul Mella"
Altre informazioni,Altre informazioni
Cod. postale,25060
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017105
Cod. catastale,E961
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 461 GG[3]"
Nome abitanti,marmentinesi
Patrono,santi Cosma e Damiano
Giorno festivo,26 settembre
Cartografia,Cartografia
Marmentino,Marmentino
Marmentino – MappaPosizione del comune di Marmentino nella provincia di Brescia,Marmentino – MappaPosizione del comune di Marmentino nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
