Quinzano d'Oglio comune,Quinzano d'Oglio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Lorenzo Olivari (centro-destra) dal 22-9-2020
Territorio,Territorio
Coordinate,45°19′N 9°59′E
Altitudine,65 m s.l.m.
Superficie,"21,45 km²"
Abitanti,6 382[1] (30-11-2025)
Densità,"297,53 ab./km²"
Comuni confinanti,"Bordolano (CR), Borgo San Giacomo, Castelvisconti (CR), Verolanuova, Verolavecchia"
Altre informazioni,Altre informazioni
Cod. postale,25027
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017159
Cod. catastale,H140
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,quinzanesi
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Cartografia,Cartografia
Quinzano d'Oglio,Quinzano d'Oglio
Quinzano d'Oglio – MappaPosizione del comune di Quinzano d'Oglio nella provincia di Brescia,Quinzano d'Oglio – MappaPosizione del comune di Quinzano d'Oglio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
