Bagnolo Mella comune,Bagnolo Mella comune.1
,
Bagnolo Mella – VedutaVista della piazza principale,Bagnolo Mella – VedutaVista della piazza principale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Stefano Godizzi (lista civica) dal 9-06-2024
Territorio,Territorio
Coordinate,45°25′48″N 10°11′07.44″E
Altitudine,85 m s.l.m.
Superficie,"31,35 km²"
Abitanti,12 532[1] (30-11-2025)
Densità,"399,74 ab./km²"
Comuni confinanti,"Capriano del Colle, Dello, Ghedi, Leno, Manerbio, Montirone, Offlaga, Poncarale"
Altre informazioni,Altre informazioni
Cod. postale,25021
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017009
Cod. catastale,A569
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,bagnolesi
Patrono,"santi Processo e Martiniano, Husso"
Giorno festivo,2 luglio
Cartografia,Cartografia
Bagnolo Mella,Bagnolo Mella
Bagnolo Mella – MappaPosizione del comune di Bagnolo Mella nella provincia di Brescia,Bagnolo Mella – MappaPosizione del comune di Bagnolo Mella nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
