Paratico comune,Paratico comune.1
,
Paratico – VedutaVeduta di Paratico dal lungolago di via Mazzini,Paratico – VedutaVeduta di Paratico dal lungolago di via Mazzini
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Carlo Tengattini (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°39′40″N 9°57′12″E
Altitudine,234 m s.l.m.
Superficie,"6,18 km²"
Abitanti,5 034[1] (30-11-2025)
Densità,"814,56 ab./km²"
Comuni confinanti,"Capriolo, Credaro (BG), Iseo, Sarnico (BG), Villongo (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,017134
Cod. catastale,G327
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 541 GG[3]"
Nome abitanti,paraticesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Paratico,Paratico
Paratico – MappaPosizione del comune di Paratico nella provincia di Brescia,Paratico – MappaPosizione del comune di Paratico nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
