Sabbio Chiese comune,Sabbio Chiese comune.1
,
Sabbio Chiese – VedutaVeduta di Sabbio Chiese,Sabbio Chiese – VedutaVeduta di Sabbio Chiese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Onorio Luscia (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°39′N 10°26′E
Altitudine,277 m s.l.m.
Superficie,"18,45 km²"
Abitanti,4 092[1] (30-11-2025)
Densità,"221,79 ab./km²"
Frazioni,"Clibbio, Pavone, Sabbio Sopra[2]"
Comuni confinanti,"Barghe, Gavardo, Odolo, Preseglie, Provaglio Val Sabbia, Vallio Terme, Villanuova sul Clisi, Vobarno"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017168
Cod. catastale,H650
Targa,BS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 610 GG[4]"
Nome abitanti,sabbiensi
Cartografia,Cartografia
Sabbio Chiese,Sabbio Chiese
Sabbio Chiese – MappaPosizione del comune di Sabbio Chiese nella provincia di Brescia,Sabbio Chiese – MappaPosizione del comune di Sabbio Chiese nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
