Cazzago San Martino comune,Cazzago San Martino comune.1
,
Cazzago San Martino – VedutaCappella di Santa Giulia (sito clunicense) a Cazzago,Cazzago San Martino – VedutaCappella di Santa Giulia (sito clunicense) a Cazzago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Fabrizio Scuri (lista civica) dal 04-10-2021
Territorio,Territorio
Coordinate,45°34′54″N 10°01′33″E
Altitudine,200 m s.l.m.
Superficie,"22,34 km²"
Abitanti,10 776[1] (30-11-2025)
Densità,"482,36 ab./km²"
Frazioni,"Barco, Bornato, Calino, Costa, Pedrocca"
Comuni confinanti,"Adro, Corte Franca, Erbusco, Passirano, Ospitaletto, Rovato, Travagliato"
Altre informazioni,Altre informazioni
Cod. postale,25046
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017046
Cod. catastale,C408
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 495 GG[3]"
Nome abitanti,cazzaghesi
Patrono,san Francesco di Paola
Giorno festivo,2 aprile
Cartografia,Cartografia
Cazzago San Martino,Cazzago San Martino
Cazzago San Martino – MappaPosizione del comune di Cazzago San Martino nella provincia di Brescia,Cazzago San Martino – MappaPosizione del comune di Cazzago San Martino nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
