Muscoline comune,Muscoline comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giovanni Alessandro Benedetti (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°34′N 10°28′E
Altitudine,272 m s.l.m.
Superficie,"10,08 km²"
Abitanti,2 727[1] (30-11-2025)
Densità,"270,54 ab./km²"
Frazioni,"Castrezzone, Longavina, Morsone, San Quirico, Cabianco, Burago, Terzago, Moniga del Bosco, Chiesa, Castello"
Comuni confinanti,"Calvagese della Riviera, Gavardo, Polpenazze del Garda, Prevalle, Puegnago del Garda"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017116
Cod. catastale,F820
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 632 GG[3]"
Nome abitanti,muscolinesi
Patrono,santa Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Muscoline,Muscoline
Muscoline – MappaPosizione del comune di Muscoline nella provincia di Brescia,Muscoline – MappaPosizione del comune di Muscoline nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
