Coccaglio comune,Coccaglio comune.1
,
Coccaglio – VedutaMunicipio di Coccaglio,Coccaglio – VedutaMunicipio di Coccaglio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Monica Lupatini (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°33′48″N 9°58′42″E
Altitudine,162 m s.l.m.
Superficie,"12,05 km²"
Abitanti,8 947[1] (30-11-2025)
Densità,"742,49 ab./km²"
Comuni confinanti,"Castrezzato, Chiari, Cologne, Erbusco, Rovato"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017056
Cod. catastale,C806
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,coccagliesi
Patrono,San Maurizio e San Giacinto
Cartografia,Cartografia
Coccaglio,Coccaglio
Coccaglio – MappaPosizione del comune di Coccaglio nella provincia di Brescia,Coccaglio – MappaPosizione del comune di Coccaglio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
