Roncadelle comune,Roncadelle comune.1
,
Roncadelle – Veduta,Roncadelle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Roberto Groppelli (PD) dal 22-9-2020
Territorio,Territorio
Coordinate,45°31′37.85″N 10°09′14.65″E
Altitudine,158 m s.l.m.
Superficie,"9,39 km²"
Abitanti,9 334[1] (30-11-2025)
Densità,"994,04 ab./km²"
Frazioni,Mandolossa
Comuni confinanti,"Brescia, Castegnato, Castel Mella, Gussago, Torbole Casaglia, Travagliato"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017165
Cod. catastale,H525
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,roncadellesi
Patrono,San Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Roncadelle,Roncadelle
Roncadelle – MappaPosizione del comune di Roncadelle nella provincia di Brescia,Roncadelle – MappaPosizione del comune di Roncadelle nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
