Remedello comune,Remedello comune.1
,
"Remedello – VedutaTorre del castello di Remedello Sopra, soprannominata dai locali “le ore”","Remedello – VedutaTorre del castello di Remedello Sopra, soprannominata dai locali “le ore”"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Simone Ferrari (Lega) dal 27-5-2019
Territorio,Territorio
Coordinate,45°16′45″N 10°22′22″E
Altitudine,47 m s.l.m.
Superficie,"21,46 km²"
Abitanti,3 449[1] (30-11-2025)
Densità,"160,72 ab./km²"
Frazioni,"Remedello Sopra, Remedello Sotto"
Comuni confinanti,"Acquafredda, Asola (MN), Casalmoro (MN) Fiesse, Gambara, Isorella, Visano"
Altre informazioni,Altre informazioni
Cod. postale,25010
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017160
Cod. catastale,H230
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 278 GG[3]"
Nome abitanti,remedellesi
Patrono,"san Lorenzo (Remedello Sopra), san Donato (Remedello Sotto)"
Giorno festivo,"7 agosto (San Donato), 10 agosto (San Lorenzo)"
Cartografia,Cartografia
Remedello,Remedello
Remedello – MappaPosizione del comune di Remedello nella provincia di Brescia,Remedello – MappaPosizione del comune di Remedello nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
