Calvagese della Riviera comune,Calvagese della Riviera comune.1
,
Calvagese della Riviera – VedutaMunicipio,Calvagese della Riviera – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Maria Teresa Comini (lista civica “Calvagese Bene Comune”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°32′03″N 10°26′33″E
Altitudine,225 m s.l.m.
Superficie,"11,74 km²"
Abitanti,3 671[1] (30-11-2025)
Densità,"312,69 ab./km²"
Frazioni,"Carzago Riviera, Mocasina"
Comuni confinanti,"Bedizzole, Lonato del Garda, Muscoline, Padenghe sul Garda, Polpenazze del Garda, Prevalle, Soiano del Lago"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017033
Cod. catastale,B436
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 522 GG[3]"
Nome abitanti,calvagesini
Patrono,san Pietro
Giorno festivo,22 febbraio
Cartografia,Cartografia
Calvagese della Riviera,Calvagese della Riviera
Calvagese della Riviera – MappaPosizione del comune di Calvagese della Riviera nella provincia di Brescia,Calvagese della Riviera – MappaPosizione del comune di Calvagese della Riviera nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
