Poncarale comune,Poncarale comune.1
,
Poncarale – VedutaPiazza dei Caduti a Poncarale. In primo piano il monumento ai caduti e sullo sfondo il comune.,Poncarale – VedutaPiazza dei Caduti a Poncarale. In primo piano il monumento ai caduti e sullo sfondo il comune.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Antonio Zampedri (centrodestra) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°27′42.84″N 10°10′40.08″E
Altitudine,100 m s.l.m.
Superficie,"12,64 km²"
Abitanti,5 203[1] (30-11-2025)
Densità,"411,63 ab./km²"
Frazioni,Borgo Poncarale
Comuni confinanti,"Bagnolo Mella, Borgosatollo, Capriano del Colle, Flero, Montirone, San Zeno Naviglio"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017147
Cod. catastale,G818
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,poncaralesi
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno
Cartografia,Cartografia
Poncarale,Poncarale
Poncarale – MappaPosizione del comune di Poncarale nella provincia di Brescia,Poncarale – MappaPosizione del comune di Poncarale nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
