Provaglio d'Iseo comune,Provaglio d'Iseo comune.1
,
Provaglio d'Iseo – Veduta,Provaglio d'Iseo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Vincenzo Simonini (Civica Bene Comune) dal 26-5-2019
Territorio,Territorio
Coordinate,45°38′N 10°03′E
Altitudine,219 m s.l.m.
Superficie,"16,16 km²"
Abitanti,7 064[1] (30-11-2025)
Densità,"437,13 ab./km²"
Frazioni,"Provezze, Fantecolo"
Comuni confinanti,"Corte Franca, Iseo, Monticelli Brusati, Passirano"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017156
Cod. catastale,H078
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 538 GG[3]"
Nome abitanti,provagliesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Provaglio d'Iseo,Provaglio d'Iseo
Provaglio d'Iseo – MappaPosizione del comune di Provaglio d'Iseo nella provincia di Brescia,Provaglio d'Iseo – MappaPosizione del comune di Provaglio d'Iseo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
