Comezzano-Cizzago comune,Comezzano-Cizzago comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Massimiliano Metelli (Lega) dal 10-6-2024
Territorio,Territorio
Coordinate,45°28′N 9°57′E
Altitudine,107 m s.l.m.
Superficie,"15,44 km²"
Abitanti,4 197[1] (30-11-2025)
Densità,"271,83 ab./km²"
Comuni confinanti,"Castelcovati, Castrezzato, Chiari, Corzano, Orzivecchi, Pompiano, Roccafranca, Trenzano"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017060
Cod. catastale,C925
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,cizzaghesi o comezzanesi
Patrono,san Giorgio (Cizzago) e san Faustino (Comezzano)
Cartografia,Cartografia
Comezzano-Cizzago,Comezzano-Cizzago
Comezzano-Cizzago – MappaPosizione del comune di Comezzano-Cizzago nella provincia di Brescia,Comezzano-Cizzago – MappaPosizione del comune di Comezzano-Cizzago nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
