Paisco Loveno comune,Paisco Loveno comune.1
,
Paisco Loveno – Veduta,Paisco Loveno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Bernardo Mascherpa (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,46°04′48″N 10°17′36″E
Altitudine,853 m s.l.m.
Superficie,"35,87 km²"
Abitanti,164[1] (30-11-2025)
Densità,"4,57 ab./km²"
Frazioni,"Ardinghelli, Case del Longo, Case di Bornia, Grumello, Loveno, Perdonico"
Comuni confinanti,"Berzo Demo, Capo di Ponte, Cerveno, Corteno Golgi, Malonno, Ono San Pietro, Schilpario (BG), Sellero, Teglio (SO)"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017131
Cod. catastale,G247
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 429 GG[3]"
Nome abitanti,paischesi
Patrono,sant'Antonio da Padova (Loveno-Grumello) san Paterio (Paisco)
Giorno festivo,13 giugno  21 febbraio
Cartografia,Cartografia
Paisco Loveno,Paisco Loveno
Paisco Loveno – MappaPosizione del comune di Paisco Loveno nella provincia di Brescia,Paisco Loveno – MappaPosizione del comune di Paisco Loveno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
