Bassano Bresciano comune,Bassano Bresciano comune.1
,
Bassano Bresciano – VedutaOsservatorio astronomico di Bassano Bresciano,Bassano Bresciano – VedutaOsservatorio astronomico di Bassano Bresciano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Michele Sbaraini (lista civica - Fratelli d'Italia/Lega/Forza Italia) dal 26-5-2019
Territorio,Territorio
Coordinate,45°19′50″N 10°07′40″E
Altitudine,65 m s.l.m.
Superficie,"9,42 km²"
Abitanti,2 363[1] (30-11-2025)
Densità,"250,85 ab./km²"
Comuni confinanti,"Manerbio, Pontevico, San Gervasio Bresciano, Verolanuova"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017013
Cod. catastale,A702
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 479 GG[3]"
Nome abitanti,bassanesi
Patrono,san Michele Arcangelo
Cartografia,Cartografia
Bassano Bresciano,Bassano Bresciano
Bassano Bresciano – MappaPosizione del comune di Bassano Bresciano nella provincia di Brescia,Bassano Bresciano – MappaPosizione del comune di Bassano Bresciano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
