San Salvatore Telesino comune,San Salvatore Telesino comune.1
,
San Salvatore Telesino – Veduta,San Salvatore Telesino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Fabio Massimo Leucio Romano (Forza Italia) dal 27-5-2013
Territorio,Territorio
Coordinate,41°14′N 14°30′E
Altitudine,"95,5 m s.l.m."
Superficie,"18,31 km²"
Abitanti,3 851[1] (30-11-2025)
Densità,"210,32 ab./km²"
Frazioni,"Banca, Casale, Cese San Manno, Epitaffio, Telese Vetere"
Comuni confinanti,"Amorosi, Castelvenere, Faicchio, Puglianello, San Lorenzello, Telese Terme"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062068
Cod. catastale,I145
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 243 GG[3]"
Nome abitanti,sansalvatoresi
Patrono,san Leucio[4]
Giorno festivo,11 gennaio[4]
Cartografia,Cartografia
San Salvatore Telesino,San Salvatore Telesino
San Salvatore Telesino – MappaPosizione del comune di San Salvatore Telesino nella provincia di Benevento,San Salvatore Telesino – MappaPosizione del comune di San Salvatore Telesino nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
