San Lorenzo Maggiore comune,San Lorenzo Maggiore comune.1
,
San Lorenzo Maggiore – Veduta,San Lorenzo Maggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Carlo Giuseppe Iannotti (lista civica Per il bene comune) dal 10-6-2018
Territorio,Territorio
Coordinate,41°15′N 14°37′E
Altitudine,330 m s.l.m.
Superficie,"16,3 km²"
Abitanti,1 849[1] (30-11-2025)
Densità,"113,44 ab./km²"
Comuni confinanti,"Guardia Sanframondi, Paupisi, Ponte, San Lupo, Vitulano"
Altre informazioni,Altre informazioni
Cod. postale,82034
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062062
Cod. catastale,H967
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 671 GG[3]"
Nome abitanti,laurentini
Patrono,San Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
San Lorenzo Maggiore,San Lorenzo Maggiore
San Lorenzo Maggiore – MappaPosizione del comune di San Lorenzo Maggiore nella provincia di Benevento,San Lorenzo Maggiore – MappaPosizione del comune di San Lorenzo Maggiore nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
