Calvi comune,Calvi comune.1
,
Calvi – Veduta,Calvi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Rocco Armando (PD - lista civica Per Calvi) dal 1-6-2015
Territorio,Territorio
Coordinate,41°04′N 14°52′E
Altitudine,376 m s.l.m.
Superficie,"22,31 km²"
Abitanti,2 470[1] (30-11-2025)
Densità,"110,71 ab./km²"
Frazioni,"Cubante, Li Mai, Piano Casiello, Piano Rose"
Comuni confinanti,"Apice, Pietradefusi (AV), San Giorgio del Sannio, San Nazzaro, Venticano (AV)"
Altre informazioni,Altre informazioni
Cod. postale,82018
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062012
Cod. catastale,B444
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 755 GG[3]"
Nome abitanti,calvesi
Patrono,san Gerardo Maiella
Giorno festivo,16 ottobre
Cartografia,Cartografia
Calvi,Calvi
Calvi – MappaPosizione del comune di Calvi nella provincia di Benevento,Calvi – MappaPosizione del comune di Calvi nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
