Fragneto l'Abate comune,Fragneto l'Abate comune.1
,
Fragneto l'Abate – VedutaVista aerea dell'abitato,Fragneto l'Abate – VedutaVista aerea dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Armando Marrone (lista civica Un ponte per il futuro) dal 4-10-2021
Territorio,Territorio
Coordinate,41°15′21″N 14°46′54″E
Altitudine,501 m s.l.m.
Superficie,"20,57 km²"
Abitanti,895[1] (30-11-2025)
Densità,"43,51 ab./km²"
Frazioni,San Matteo
Comuni confinanti,"Campolattaro, Circello, Fragneto Monforte, Pesco Sannita, Reino"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062033
Cod. catastale,D755
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 982 GG[3]"
Nome abitanti,fragnetellesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno 17 agosto
Cartografia,Cartografia
Fragneto l'Abate,Fragneto l'Abate
Fragneto l'Abate – MappaPosizione del comune di Fragneto l'Abate nella provincia di Benevento,Fragneto l'Abate – MappaPosizione del comune di Fragneto l'Abate nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
