Melizzano comune,Melizzano comune.1
,
Melizzano – Veduta,Melizzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Francesco Galietta (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,41°10′N 14°30′E
Altitudine,190 m s.l.m.
Superficie,"17,59 km²"
Abitanti,1 634[1] (30-11-2025)
Densità,"92,89 ab./km²"
Frazioni,Torello
Comuni confinanti,"Amorosi, Castel Campagnano (CE), Dugenta, Frasso Telesino, Solopaca, Telese Terme"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062039
Cod. catastale,F113
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 461 GG[3]"
Nome abitanti,melizzanesi
Patrono,"san Pietro Apostolo, san Paolo Apostolo"
Giorno festivo,29 giugno
Cartografia,Cartografia
Melizzano,Melizzano
Melizzano – MappaPosizione del comune di Melizzano nella provincia di Benevento,Melizzano – MappaPosizione del comune di Melizzano nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
