Arpaia comune,Arpaia comune.1
,
Arpaia – VedutaVista dalla via Appia,Arpaia – VedutaVista dalla via Appia
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Pasquale Fucci (lista civica Uniti per Arpaia)
Territorio,Territorio
Coordinate,41°02′N 14°33′E
Altitudine,283 m s.l.m.
Superficie,"4,96 km²"
Abitanti,1 988[1] (30-11-2025)
Densità,"400,81 ab./km²"
Frazioni,"Via Appia Est, Via Appia Ovest"
Comuni confinanti,"Airola, Forchia, Paolisi, Roccarainola (NA)"
Altre informazioni,Altre informazioni
Cod. postale,82011
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,062005
Cod. catastale,A431
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 585 GG[3]"
Nome abitanti,arpaiuoli o arpaioli
Patrono,Madonna delle Grazie; san Michele Arcangelo
Giorno festivo,2 luglio; 29 settembre
Cartografia,Cartografia
Arpaia,Arpaia
Arpaia – MappaPosizione del comune di Arpaia nella provincia di Benevento,Arpaia – MappaPosizione del comune di Arpaia nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
