Apice comune,Apice comune.1
,
Apice – VedutaIl centro storico (in primo piano) e il nuovo centro abitato (sullo sfondo),Apice – VedutaIl centro storico (in primo piano) e il nuovo centro abitato (sullo sfondo)
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Angelo Pepe (Apice in comune) dal 26-5-2019
Territorio,Territorio
Coordinate,41°07′N 14°56′E
Altitudine,220 m s.l.m.
Superficie,"49,04 km²"
Abitanti,5 179[1] (30-11-2025)
Densità,"105,61 ab./km²"
Frazioni,9 contrade
Comuni confinanti,"Ariano Irpino (AV), Bonito (AV), Buonalbergo, Calvi, Melito Irpino (AV), Mirabella Eclano (AV), Montecalvo Irpino (AV), Paduli, San Giorgio del Sannio, Sant'Arcangelo Trimonte, Venticano (AV)"
Altre informazioni,Altre informazioni
Cod. postale,82021
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062003
Cod. catastale,A328
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 523 GG[3]"
Nome abitanti,apicesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Apice,Apice
Apice – MappaPosizione del comune di Apice all'interno della provincia di Benevento,Apice – MappaPosizione del comune di Apice all'interno della provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
