Paolisi comune,Paolisi comune.1
,
Paolisi – Veduta,Paolisi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Umberto Maietta (lista civica Cambiamo Paolisi) dal 27-5-2019
Territorio,Territorio
Coordinate,41°02′N 14°35′E
Altitudine,270 m s.l.m.
Superficie,6[1] km²
Abitanti,1 941[2] (30-11-2025)
Densità,"323,5 ab./km²"
Comuni confinanti,"Airola, Arpaia, Roccarainola (NA), Rotondi (AV)"
Altre informazioni,Altre informazioni
Cod. postale,82011
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,062048
Cod. catastale,G318
Targa,BN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 562 GG[4]"
Nome abitanti,paolisani
Patrono,sant'Andrea Apostolo
Cartografia,Cartografia
Paolisi,Paolisi
Paolisi – MappaPosizione del comune di Paolisi nella provincia di Benevento,Paolisi – MappaPosizione del comune di Paolisi nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
