Ginestra degli Schiavoni comune,Ginestra degli Schiavoni comune.1
,
Ginestra degli Schiavoni – Veduta,Ginestra degli Schiavoni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Edi Barile (lista civica Insieme per Ginestra) dal 4-10-2021
Territorio,Territorio
Coordinate,41°16′46″N 15°02′32″E
Altitudine,540 m s.l.m.
Superficie,"14,79 km²"
Abitanti,382[1] (30-11-2025)
Densità,"25,83 ab./km²"
Comuni confinanti,"Casalbore (AV), Castelfranco in Miscano, Montecalvo Irpino (AV), Montefalcone di Val Fortore, San Giorgio La Molara"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062036
Cod. catastale,E034
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 034 GG[3]"
Nome abitanti,ginestresi
Patrono,sant'Antonio
Giorno festivo,13 giugno
Cartografia,Cartografia
Ginestra degli Schiavoni,Ginestra degli Schiavoni
Ginestra degli Schiavoni – MappaPosizione del comune di Ginestra degli Schiavoni nella provincia di Benevento,Ginestra degli Schiavoni – MappaPosizione del comune di Ginestra degli Schiavoni nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
