Durazzano comune,Durazzano comune.1
,
Durazzano – VedutaLe pale eoliche di Durazzano,Durazzano – VedutaLe pale eoliche di Durazzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Lina Grasso dal 10-06-2024
Territorio,Territorio
Coordinate,41°03′46.3″N 14°26′58.09″E
Altitudine,286 m s.l.m.
Superficie,"12,91 km²"
Abitanti,2 050[1] (30-11-2025)
Densità,"158,79 ab./km²"
Frazioni,"Casanova, San Giorgio, Cirigliano"
Comuni confinanti,"Cervino (CE), Sant'Agata de' Goti, Santa Maria a Vico (CE), Valle di Maddaloni (CE)"
Altre informazioni,Altre informazioni
Cod. postale,82015
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,062028
Cod. catastale,D386
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 591 GG[3]"
Nome abitanti,durazzanesi
Patrono,san Vincenzo Ferreri
Giorno festivo,5 aprile
Cartografia,Cartografia
Durazzano,Durazzano
Durazzano – MappaPosizione del comune di Durazzano nella provincia di Benevento,Durazzano – MappaPosizione del comune di Durazzano nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
