Circello comune,Circello comune.1
,
Circello – VedutaPanorama,Circello – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Gianclaudio Golia (lista civica Circello è tuo) dal 26-5-2014
Territorio,Territorio
Coordinate,41°21′N 14°49′E
Altitudine,700 m s.l.m.
Superficie,"45,66 km²"
Abitanti,2 062[1] (30-11-2025)
Densità,"45,16 ab./km²"
Comuni confinanti,"Campolattaro, Castelpagano, Colle Sannita, Fragneto l'Abate, Morcone, Reino, Santa Croce del Sannio"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062024
Cod. catastale,C719
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 253 GG[3]"
Nome abitanti,circellesi
Patrono,san Michele Arcangelo
Giorno festivo,2 agosto
Cartografia,Cartografia
Circello,Circello
Circello – MappaPosizione del comune di Circello nella provincia di Benevento,Circello – MappaPosizione del comune di Circello nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
