Campolattaro comune,Campolattaro comune.1
,
Campolattaro – Veduta,Campolattaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Simone Paglia (Le radici. Il futuro) dal 13-6-2022
Territorio,Territorio
Coordinate,41°17′N 14°44′E
Altitudine,430 m s.l.m.
Superficie,"17,59 km²"
Abitanti,958[1] (30-11-2025)
Densità,"54,46 ab./km²"
Frazioni,"Iadanza, Botticella"
Comuni confinanti,"Casalduni, Circello, Fragneto l'Abate, Fragneto Monforte, Morcone, Pontelandolfo"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062013
Cod. catastale,B541
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 853 GG[3]"
Nome abitanti,campolattaresi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Campolattaro,Campolattaro
Campolattaro – MappaPosizione del comune di Campolattaro nella provincia di Benevento,Campolattaro – MappaPosizione del comune di Campolattaro nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
