Paupisi comune,Paupisi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Salvatore Coletta (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,41°12′N 14°40′E
Altitudine,320 m s.l.m.
Superficie,"6,83 km²"
Abitanti,1 380[1] (30-11-2025)
Densità,"202,05 ab./km²"
Frazioni,"Mandarisi, Pagani, San Pietro La Difesa"
Comuni confinanti,"Ponte, San Lorenzo Maggiore, Torrecuso, Vitulano"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062049
Cod. catastale,G386
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 653 GG[3]"
Nome abitanti,paupisani
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Paupisi,Paupisi
Paupisi – MappaPosizione del comune di Paupisi nella provincia di Benevento,Paupisi – MappaPosizione del comune di Paupisi nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
