Solopaca comune,Solopaca comune.1
,
Solopaca – VedutaL'abitato di Solopaca visto dal fiume Calore,Solopaca – VedutaL'abitato di Solopaca visto dal fiume Calore
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Pompilio Forgione (lista civica Siamo Solopaca) dal 5-6-2016
Territorio,Territorio
Coordinate,41°11′N 14°33′E
Altitudine,180 m s.l.m.
Superficie,"31,13 km²"
Abitanti,3 380[1] (30-11-2025)
Densità,"108,58 ab./km²"
Frazioni,"Stazione di Solopaca, Sant'Aniello"
Comuni confinanti,"Castelvenere, Frasso Telesino, Guardia Sanframondi, Melizzano, Telese Terme, Vitulano"
Altre informazioni,Altre informazioni
Cod. postale,82036
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062073
Cod. catastale,I809
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 398 GG[3]"
Nome abitanti,solopachesi
Patrono,San Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Solopaca,Solopaca
Solopaca – MappaPosizione del comune di Solopaca nella provincia di Benevento,Solopaca – MappaPosizione del comune di Solopaca nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
