San Nazzaro comune,San Nazzaro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Giovanni Tommaso Manganiello (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,41°03′09.86″N 14°51′35.59″E
Altitudine,495 m s.l.m.
Superficie,"2,04 km²"
Abitanti,821[1] (30-11-2025)
Densità,"402,45 ab./km²"
Comuni confinanti,"Calvi, Montefusco (AV), Pietradefusi (AV), San Giorgio del Sannio, San Martino Sannita"
Altre informazioni,Altre informazioni
Cod. postale,82010
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062066
Cod. catastale,I049
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 971 GG[3]"
Nome abitanti,sannazzareni
Patrono,San Nazzaro Martire
Cartografia,Cartografia
San Nazzaro,San Nazzaro
San Nazzaro – MappaPosizione del comune di San Nazzaro nella provincia di Benevento,San Nazzaro – MappaPosizione del comune di San Nazzaro nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
