San Nicola Manfredi comune,San Nicola Manfredi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Arturo Leone Vernillo (Sviluppo e solidarietà) dal 4-10-2021
Territorio,Territorio
Coordinate,41°04′N 14°49′E
Altitudine,450 m s.l.m.
Superficie,"19,22 km²"
Abitanti,3 483[1] (31-3-2022)
Densità,"181,22 ab./km²"
Frazioni,"Monterocchetta, Pagliara, Santa Maria Ingrisone, Iannassi, Santa Maria a Toro, Toccanisi"
Comuni confinanti,"Benevento, Ceppaloni, Chianche (AV), Montefusco (AV), Paduli, Petruro Irpino (AV), San Giorgio del Sannio, San Martino Sannita, Sant'Angelo a Cupolo, Torrioni (AV)"
Altre informazioni,Altre informazioni
Cod. postale,82010
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062067
Cod. catastale,I062
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 815 GG[3]"
Nome abitanti,sannicolesi
Cartografia,Cartografia
San Nicola Manfredi,San Nicola Manfredi
San Nicola Manfredi – MappaPosizione del comune di San Nicola Manfredi nella provincia di Benevento,San Nicola Manfredi – MappaPosizione del comune di San Nicola Manfredi nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
