Sant'Arcangelo Trimonte comune,Sant'Arcangelo Trimonte comune.1
,
Sant'Arcangelo Trimonte – VedutaLa sede municipale al centro del paese,Sant'Arcangelo Trimonte – VedutaLa sede municipale al centro del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Felice Iammarino (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,41°09′N 14°56′E
Altitudine,363 m s.l.m.
Superficie,"9,8 km²"
Abitanti,461[1] (30-11-2025)
Densità,"47,04 ab./km²"
Frazioni,Iscalonga
Comuni confinanti,"Apice, Buonalbergo, Paduli"
Altre informazioni,Altre informazioni
Cod. postale,82021
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062078
Cod. catastale,F557
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 731 GG[3]"
Nome abitanti,"santarcangiolesi, già montemalesi"
Patrono,san Sebastiano
Cartografia,Cartografia
Sant'Arcangelo Trimonte,Sant'Arcangelo Trimonte
Sant'Arcangelo Trimonte – MappaPosizione del comune di Sant'Arcangelo Trimonte nella provincia di Benevento,Sant'Arcangelo Trimonte – MappaPosizione del comune di Sant'Arcangelo Trimonte nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
