Provincia di Benevento provincia,Provincia di Benevento provincia.1
,
"Provincia di Benevento – VedutaRocca dei Rettori, sede della Provincia, 2014","Provincia di Benevento – VedutaRocca dei Rettori, sede della Provincia, 2014"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Amministrazione,Amministrazione
Capoluogo,Benevento
Presidente,Nino Lombardi (UDC) dal 4-8-2022
Data di istituzione,25 ottobre 1860 (de facto) 17 febbraio 1861 (de iure)
Territorio,Territorio
Coordinate del capoluogo,41°08′N 14°47′E
Superficie,"2 080,44 km²"
Abitanti,258 295[1] (31-10-2025)
Densità,"124,15 ab./km²"
Comuni,78 comuni
Province confinanti,"Avellino, Campobasso, Caserta, Foggia, Napoli"
Altre informazioni,Altre informazioni
Cod. postale,82100 (Benevento) 82010; 82015; 82018; 82020; 82021; 82024; 82030; 82038 (altri comuni)
Prefisso,"0823, 0824"
Fuso orario,UTC+1
ISO 3166-2,IT-BN
Codice ISTAT,062
Targa,BN
PIL,"(nominale) 4 892,09 mln €[2](2021)"
PIL procapite,(nominale) 18 456 €[2](2021)
Cartografia,Cartografia
Provincia di Benevento – Localizzazione,Provincia di Benevento – Localizzazione
Provincia di Benevento – MappaPosizione della provincia di Benevento all'interno della Campania,Provincia di Benevento – MappaPosizione della provincia di Benevento all'interno della Campania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
