Tocco Caudio comune,Tocco Caudio comune.1
(dettagli),(dettagli)
"Tocco Caudio – VedutaTocco vecchio ai piedi dei versanti del Taburno, visto da nord","Tocco Caudio – VedutaTocco vecchio ai piedi dei versanti del Taburno, visto da nord"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Gennaro Caporaso (lista civica) dal 27-5-2019 e riconfermato il 09-06-2024
Territorio,Territorio
Coordinate,41°08′N 14°38′E
Altitudine,500 m s.l.m.
Superficie,"27,49 km²"
Abitanti,1 459[1] (30-11-2025)
Densità,"53,07 ab./km²"
Comuni confinanti,"Bonea, Bucciano, Campoli del Monte Taburno, Cautano, Frasso Telesino, Moiano, Montesarchio, Sant'Agata de' Goti"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062075
Cod. catastale,L185
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 980 GG[3]"
Nome abitanti,tocchesi
Patrono,santi Cosma e Damiano
Giorno festivo,27 settembre
Cartografia,Cartografia
Tocco Caudio,Tocco Caudio
Tocco Caudio – MappaPosizione del comune di Tocco Caudio nella provincia di Benevento,Tocco Caudio – MappaPosizione del comune di Tocco Caudio nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
