Pannarano comune,Pannarano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Antonio Iavarone (Nuovi Orizzonti) dal 10-6-2024
Territorio,Territorio
Coordinate,41°00′39″N 14°42′10″E
Altitudine,360 m s.l.m.
Superficie,"11,8 km²"
Abitanti,1 963[1] (30-11-2025)
Densità,"166,36 ab./km²"
Frazioni,"Borreca Caputi, Bosco Capitoli, Canate, Cuti, San Nicola, Selvetelle, Campitiello, Cerreto, Fontana Vecchia"
Comuni confinanti,"Avella (AV), Pietrastornina (AV), Roccabascerana (AV), San Martino Valle Caudina (AV), Sperone (AV), Summonte (AV)"
Altre informazioni,Altre informazioni
Cod. postale,82017
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062047
Cod. catastale,G311
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 725 GG[3]"
Nome abitanti,pannaranesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Pannarano,Pannarano
"Pannarano – MappaPosizione del comune di Pannarano, isolata rispetto al resto della provincia di Benevento","Pannarano – MappaPosizione del comune di Pannarano, isolata rispetto al resto della provincia di Benevento"
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
