Molinara comune,Molinara comune.1
,
"Molinara – VedutaVeduta di Molinara. A sinistra è la recente chiesa di San Rocco, a destra il centro storico.","Molinara – VedutaVeduta di Molinara. A sinistra è la recente chiesa di San Rocco, a destra il centro storico."
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Giuseppe Addabbo (lista civica) dal 7-5-2012
Territorio,Territorio
Coordinate,41°18′N 14°55′E
Altitudine,582 m s.l.m.
Superficie,"24,16 km²"
Abitanti,1 389[1] (30-11-2025)
Densità,"57,49 ab./km²"
Comuni confinanti,"Foiano di Val Fortore, San Giorgio La Molara, San Marco dei Cavoti"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062041
Cod. catastale,F287
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 126 GG[3]"
Nome abitanti,molinaresi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Molinara,Molinara
Molinara – MappaPosizione del comune di Molinara nella provincia di Benevento,Molinara – MappaPosizione del comune di Molinara nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
