Paduli comune,Paduli comune.1
,
Paduli – VedutaPanorama,Paduli – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Domenico Vessichelli (lista civica Uniti per Paduli) dal 1-6-2015
Territorio,Territorio
Coordinate,41°10′N 14°53′E
Altitudine,349 m s.l.m.
Superficie,"45,3 km²"
Abitanti,3 527[1] (30-11-2025)
Densità,"77,86 ab./km²"
Frazioni,"Bosco Verdito, Calore Follo, Calore Sandriani, Campo dei Merli, Capitolo, Carpinelli, Femina Arsa, Fontana Pila, Forninuovo, Iettacore, Ignazia, Montecapriano, Montesanto, Orticelli, Paduli Scalo, Piana, Piana Ferrara, Pianella, Ponte Lardone, Ravano, Saglieta, San Giuseppe, Sant'Arcangelo, Sant'Elena, Serre, Torre, Torre Monte, Vessichelli"
Comuni confinanti,"Apice, Benevento, Buonalbergo, Pago Veiano, Pietrelcina, San Giorgio del Sannio, San Giorgio La Molara, San Nicola Manfredi, Sant'Arcangelo Trimonte"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062045
Cod. catastale,G227
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 705 GG[3]"
Nome abitanti,padulesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Paduli,Paduli
Paduli – MappaPosizione del comune di Paduli nella provincia di Benevento,Paduli – MappaPosizione del comune di Paduli nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
