Pesco Sannita comune,Pesco Sannita comune.1
,
Pesco Sannita – VedutaVeduta aerea,Pesco Sannita – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Nicola Gentile (lista civica L'aquilone) dal 4-10-2021
Territorio,Territorio
Coordinate,41°14′N 14°49′E
Altitudine,393 m s.l.m.
Superficie,"24,15 km²"
Abitanti,1 797[1] (30-11-2025)
Densità,"74,41 ab./km²"
Frazioni,"Monteleone I, Monteleone II, Monteleone III, Maitine, Rapinella"
Comuni confinanti,"Benevento, Fragneto l'Abate, Fragneto Monforte, Pago Veiano, Pietrelcina, Reino, San Marco dei Cavoti"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062050
Cod. catastale,G494
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 785 GG[3]"
Nome abitanti,pescolani
Patrono,san Nicola e santa Reparata
Giorno festivo,"6 dicembre, 19 agosto"
Cartografia,Cartografia
Pesco Sannita,Pesco Sannita
Pesco Sannita – MappaPosizione del comune di Pesco Sannita nella provincia di Benevento,Pesco Sannita – MappaPosizione del comune di Pesco Sannita nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
