Amorosi comune,Amorosi comune.1
,
Amorosi – Veduta,Amorosi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Carmine Cacchillo (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,41°12′N 14°28′E
Altitudine,60 m s.l.m.
Superficie,"11,22 km²"
Abitanti,2 630[1] (30-11-2025)
Densità,"234,4 ab./km²"
Comuni confinanti,"Castel Campagnano (CE), Melizzano, Puglianello, Ruviano (CE), San Salvatore Telesino, Telese Terme"
Altre informazioni,Altre informazioni
Cod. postale,82031
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062002
Cod. catastale,A265
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 179 GG[3]"
Nome abitanti,amorosini
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Amorosi,Amorosi
Amorosi – MappaPosizione del comune di Amorosi nella provincia di Benevento,Amorosi – MappaPosizione del comune di Amorosi nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
