Cerreto Sannita comune,Cerreto Sannita comune.1
,
Cerreto Sannita – Veduta,Cerreto Sannita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Giovanni Parente (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,41°17′07″N 14°33′35″E
Altitudine,"277,4 m s.l.m."
Superficie,"33,35 km²"
Abitanti,3 501[1] (30-11-2025)
Densità,"104,98 ab./km²"
Comuni confinanti,"Cusano Mutri, Guardia Sanframondi, Morcone, Pietraroja, Pontelandolfo, San Lorenzello, San Lupo"
Altre informazioni,Altre informazioni
Cod. postale,82032
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062023
Cod. catastale,C525
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 574 GG[3]"
Nome abitanti,cerretesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Cerreto Sannita,Cerreto Sannita
Cerreto Sannita – MappaPosizione del comune di Cerreto Sannita nella provincia di Benevento,Cerreto Sannita – MappaPosizione del comune di Cerreto Sannita nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
