Sassinoro comune,Sassinoro comune.1
,
Sassinoro – Veduta,Sassinoro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Luca Apollonio (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,41°22′N 14°40′E
Altitudine,545 m s.l.m.
Superficie,"13,25 km²"
Abitanti,606[1] (30-11-2025)
Densità,"45,74 ab./km²"
Frazioni,"Santa Lucia al Monte, Toppo di Cesare, Picucci, Vignadonica, Colle di Prato, Colle Endevite, Castellucci, Velardo, Oliveto, Pezze, Coste Cancello, Sant'Antonio Abate, Salde, Simeoni, Querceto, Pianella, Montagna, Colle Aquara, Pezze, Boschetto, Pianelle Cupa"
Comuni confinanti,"Morcone, Sepino (CB)"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062072
Cod. catastale,I455
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 062 GG[3]"
Nome abitanti,sassinoresi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Sassinoro,Sassinoro
Sassinoro – MappaPosizione del comune di Sassinoro nella provincia di Benevento,Sassinoro – MappaPosizione del comune di Sassinoro nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
