Castelpagano comune,Castelpagano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Giuseppe Bozzuto (lista civica Patto per Castelpagano) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°24′N 14°48′E
Altitudine,630 m s.l.m.
Superficie,"38,26 km²"
Abitanti,1 315[1] (30-11-2025)
Densità,"34,37 ab./km²"
Frazioni,"Monticelli, Nardilli al Bosco, Paoloni, Ripa, Piano Sant'Angelo, Riporta, Scarcioni, Tufarelli"
Comuni confinanti,"Cercemaggiore (CB), Circello, Colle Sannita, Riccia (CB), Santa Croce del Sannio"
Altre informazioni,Altre informazioni
Cod. postale,82024
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062017
Cod. catastale,C245
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 217 GG[3]"
Nome abitanti,castelpaganesi
Patrono,san Donato[4]
Cartografia,Cartografia
Castelpagano,Castelpagano
Castelpagano – MappaPosizione del comune di Castelpagano nella provincia di Benevento,Castelpagano – MappaPosizione del comune di Castelpagano nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
