Benevento comune,Benevento comune.1
,
"Benevento – VedutaDall'alto a sinistra, in senso orario: l'arco di Traiano, l'interno della chiesa di Santa Sofia, un dettaglio del portale del duomo, la Rocca dei Rettori e il teatro romano","Benevento – VedutaDall'alto a sinistra, in senso orario: l'arco di Traiano, l'interno della chiesa di Santa Sofia, un dettaglio del portale del duomo, la Rocca dei Rettori e il teatro romano"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Clemente Mastella (Noi Campani) dal 20-6-2016 (2º mandato dal 22-10-2021)
Territorio,Territorio
Coordinate,41°08′N 14°47′E
Altitudine,135[1] m s.l.m.
Superficie,"130,84 km²"
Abitanti,55 338[2] (30-11-2025)
Densità,"422,94 ab./km²"
Comuni confinanti,"Apollosa, Castelpoto, Foglianise, Fragneto Monforte, Paduli, Pesco Sannita, Pietrelcina, San Leucio del Sannio, San Nicola Manfredi, Sant'Angelo a Cupolo, Torrecuso"
Altre informazioni,Altre informazioni
Cod. postale,82100
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062008
Cod. catastale,A783
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona C, 1 316 GG[4]"
Nome abitanti,beneventani
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Benevento,Benevento
Benevento – MappaPosizione del comune di Benevento nell'omonima provincia,Benevento – MappaPosizione del comune di Benevento nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
