Ceppaloni comune,Ceppaloni comune.1
,
Ceppaloni – Veduta,Ceppaloni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Claudio Cataudo (lista civica Ceppaloni domani) dal 15-5-2023
Territorio,Territorio
Coordinate,41°03′N 14°46′E
Altitudine,368 m s.l.m.
Superficie,"23,8 km²"
Abitanti,3 174[1] (30-11-2025)
Densità,"133,36 ab./km²"
Frazioni,"Barba, Beltiglio, Ripabianca, San Giovanni, Santa Croce e Tufara Valle"
Comuni confinanti,"Altavilla Irpina (AV), Apollosa, Arpaise, Chianche (AV), Montesarchio, Roccabascerana (AV), San Leucio del Sannio, San Nicola Manfredi, Sant'Angelo a Cupolo"
Altre informazioni,Altre informazioni
Cod. postale,82014[2]
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062022
Cod. catastale,C476
Targa,BN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 740 GG[4]"
Nome abitanti,ceppalonesi
Patrono,san Nicola vescovo
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ceppaloni,Ceppaloni
Ceppaloni – MappaPosizione del comune di Ceppaloni nella provincia di Benevento,Ceppaloni – MappaPosizione del comune di Ceppaloni nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
