Buonalbergo comune,Buonalbergo comune.1
,
Buonalbergo – VedutaScorcio del centro storico con la chiesa madre di San Nicola,Buonalbergo – VedutaScorcio del centro storico con la chiesa madre di San Nicola
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Michele Gambarota (Uniti per Buonalbergo) dal 12-06-2022
Territorio,Territorio
Coordinate,41°13′N 14°59′E
Altitudine,555 m s.l.m.
Superficie,"25,08 km²"
Abitanti,1 478[1] (30-11-2025)
Densità,"58,93 ab./km²"
Frazioni,"Brecciale, Campanili, Cesine, Ficonera, Fontana Crocelle, Fontanone, Montepalumbo, Ponteladrone, Scarpuzza, Tavernola, Toppo del Notaio"
Comuni confinanti,"Apice, Casalbore (AV), Montecalvo Irpino (AV), Paduli, San Giorgio La Molara, Sant'Arcangelo Trimonte"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062011
Cod. catastale,B267
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 975 GG[3]"
Nome abitanti,buonalberghesi
Patrono,Santissima Madonna della Macchia
Giorno festivo,12 settembre
Cartografia,Cartografia
Buonalbergo,Buonalbergo
Buonalbergo – MappaPosizione del comune di Buonalbergo nella provincia di Benevento,Buonalbergo – MappaPosizione del comune di Buonalbergo nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
