Pontelandolfo comune,Pontelandolfo comune.1
,
Pontelandolfo – Veduta,Pontelandolfo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Ovidio Valerio Testa (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,41°17′N 14°41′E
Altitudine,510 m s.l.m.
Superficie,"29,03 km²"
Abitanti,1 946[1] (30-11-2025)
Densità,"67,03 ab./km²"
Comuni confinanti,"Campolattaro, Casalduni, Cerreto Sannita, Fragneto Monforte, Morcone, San Lupo"
Altre informazioni,Altre informazioni
Cod. postale,82027
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062054
Cod. catastale,G848
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 998 GG[3]"
Nome abitanti,pontelandolfesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Pontelandolfo,Pontelandolfo
Pontelandolfo – MappaPosizione del comune di Pontelandolfo nella provincia di Benevento,Pontelandolfo – MappaPosizione del comune di Pontelandolfo nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
