Pago Veiano comune,Pago Veiano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Mauro De Ieso (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,41°15′N 14°52′E
Altitudine,485 m s.l.m.
Superficie,"23,75 km²"
Abitanti,2 164[1] (30-11-2025)
Densità,"91,12 ab./km²"
Comuni confinanti,"Paduli, Pesco Sannita, Pietrelcina, San Giorgio La Molara, San Marco dei Cavoti"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062046
Cod. catastale,G243
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 953 GG[3]"
Nome abitanti,pagoveianesi
Patrono,san Donato
Cartografia,Cartografia
Pago Veiano,Pago Veiano
Pago Veiano – MappaPosizione del comune di Pago Veiano nella provincia di Benevento,Pago Veiano – MappaPosizione del comune di Pago Veiano nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
