San Lupo comune,San Lupo comune.1
,
San Lupo – VedutaSan Lupo visto da ovest,San Lupo – VedutaSan Lupo visto da ovest
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Franco Vincenzo Valente (Lista Civica) dal 15-05-2023
Territorio,Territorio
Coordinate,41°16′N 14°38′E
Altitudine,500 m s.l.m.
Superficie,"15,3 km²"
Abitanti,671[1] (30-11-2025)
Densità,"43,86 ab./km²"
Comuni confinanti,"Casalduni, Cerreto Sannita, Guardia Sanframondi, Ponte, Pontelandolfo, San Lorenzo Maggiore"
Altre informazioni,Altre informazioni
Cod. postale,82034
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062063
Cod. catastale,H973
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 980 GG[3]"
Nome abitanti,sanlupesi
Patrono,san Lupo di Troyes
Giorno festivo,29 luglio
Cartografia,Cartografia
San Lupo,San Lupo
San Lupo – MappaPosizione del comune di San Lupo all'interno della provincia di Benevento,San Lupo – MappaPosizione del comune di San Lupo all'interno della provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
