Torrecuso comune,Torrecuso comune.1
,
Torrecuso – Veduta,Torrecuso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Angelino Iannella (lista civica Insieme... si può) dal 27-5-2019
Territorio,Territorio
Coordinate,41°11′N 14°41′E
Altitudine,420 m s.l.m.
Superficie,"29,16 km²"
Abitanti,3 227[1] (30-11-2025)
Densità,"110,67 ab./km²"
Frazioni,"Collepiano, Torrepalazzo"
Comuni confinanti,"Benevento, Foglianise, Fragneto Monforte, Ponte, Paupisi, Vitulano"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062076
Cod. catastale,L254
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 835 GG[3]"
Nome abitanti,torrecusani
Patrono,san Liberatore
Giorno festivo,15 maggio
Cartografia,Cartografia
Torrecuso,Torrecuso
Torrecuso – MappaPosizione del comune di Torrecuso nella provincia di Benevento,Torrecuso – MappaPosizione del comune di Torrecuso nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
