San Lorenzello comune,San Lorenzello comune.1
,
San Lorenzello – Veduta,San Lorenzello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Antimo Lavorgna (lista civica Insieme si cresce) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,41°16′37″N 14°32′33″E
Altitudine,250 m s.l.m.
Superficie,"13,88 km²"
Abitanti,2 079[1] (30-11-2025)
Densità,"149,78 ab./km²"
Comuni confinanti,"Castelvenere, Cerreto Sannita, Cusano Mutri, Faicchio, Guardia Sanframondi, San Salvatore Telesino"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062061
Cod. catastale,H955
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 525 GG[3]"
Nome abitanti,laurentini
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
San Lorenzello,San Lorenzello
San Lorenzello – MappaPosizione del comune di San Lorenzello nella provincia di Benevento,San Lorenzello – MappaPosizione del comune di San Lorenzello nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
