Frasso Telesino comune,Frasso Telesino comune.1
,
Frasso Telesino – Veduta,Frasso Telesino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Pasquale Viscusi (lista civica Ricominciamo insieme) dal 10-6-2018
Territorio,Territorio
Coordinate,41°09′N 14°32′E
Altitudine,374 m s.l.m.
Superficie,"21,82 km²"
Abitanti,1 951[1] (30-11-2025)
Densità,"89,41 ab./km²"
Frazioni,Nansignano[2]
Comuni confinanti,"Cautano, Dugenta, Melizzano, Sant'Agata de' Goti, Solopaca, Tocco Caudio, Vitulano"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062035
Cod. catastale,D784
Targa,BN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 751 GG[4]"
Nome abitanti,frassesi
Patrono,Santa Giuliana di Nicomedia
Giorno festivo,16 febbraio
Cartografia,Cartografia
Frasso Telesino,Frasso Telesino
Frasso Telesino – MappaPosizione del comune di Frasso Telesino nella provincia di Benevento,Frasso Telesino – MappaPosizione del comune di Frasso Telesino nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
