Baselice comune,Baselice comune.1
,
Baselice – VedutaPanorama di Baselice,Baselice – VedutaPanorama di Baselice
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Massimo Maddalena (lista civica SiAmo Baselice) dal 10-6-2024
Territorio,Territorio
Coordinate,41°24′N 14°58′E
Altitudine,620 m s.l.m.
Superficie,"47,82 km²"
Abitanti,1 991[1] (30-11-2025)
Densità,"41,64 ab./km²"
Frazioni,"Aia Mattia, Bosco, Chiaia, Defenza, Mazzocca, Pietramonte, Porcara, San Felice"
Comuni confinanti,"Castelvetere in Val Fortore, Colle Sannita, Foiano di Val Fortore, San Bartolomeo in Galdo, San Marco dei Cavoti"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062007
Cod. catastale,A696
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 199 GG[3]"
Nome abitanti,baselicesi
Patrono,san Leonardo Abate
Giorno festivo,6 novembre
Cartografia,Cartografia
Baselice,Baselice
Baselice – MappaPosizione del comune di Baselice nella provincia di Benevento,Baselice – MappaPosizione del comune di Baselice nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
