Ponte comune,Ponte comune.1
,
Ponte – Veduta,Ponte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Antonello Caporaso (lista civica SìAmo Ponte) dal 15-5-2023
Data di istituzione,1913
Territorio,Territorio
Coordinate,41°13′N 14°42′E
Altitudine,147 m s.l.m.
Superficie,"17,92 km²"
Abitanti,2 387[1] (30-11-2025)
Densità,"133,2 ab./km²"
Frazioni,"Canale, Colli, Ferrarisi, Monte, Piana, Puglia, Staglio"
Comuni confinanti,"Casalduni, Fragneto Monforte, Paupisi, San Lorenzo Maggiore, San Lupo, Torrecuso"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062053
Cod. catastale,G827
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 338 GG[3]"
Nome abitanti,pontesi
Patrono,san Giovanni Nepomuceno
Giorno festivo,16 maggio
Cartografia,Cartografia
Ponte,Ponte
Ponte – MappaPosizione del comune di Ponte nella provincia di Benevento,Ponte – MappaPosizione del comune di Ponte nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
