Sant'Angelo a Cupolo comune,Sant'Angelo a Cupolo comune.1
,
Sant'Angelo a Cupolo – Veduta,Sant'Angelo a Cupolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Alessandro De Pierro (lista civica) dal 26-05-2025
Territorio,Territorio
Coordinate,41°04′N 14°48′E
Altitudine,459 m s.l.m.
Superficie,"11,01 km²"
Abitanti,3 992[1] (30-11-2025)
Densità,"362,58 ab./km²"
Frazioni,"Bagnara, Cardilli, Maccoli, Medina, Montorsi, Motta, Panelli, Pastene, Perrillo, San Marco ai Monti, Sciarra"
Comuni confinanti,"Benevento, Ceppaloni, Chianche (AV), San Leucio del Sannio, San Martino Sannita, San Nicola Manfredi"
Altre informazioni,Altre informazioni
Cod. postale,82010
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062071
Cod. catastale,I277
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 906 GG[3]"
Nome abitanti,santangiolesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Sant'Angelo a Cupolo,Sant'Angelo a Cupolo
Sant'Angelo a Cupolo – MappaPosizione del comune di Sant'Angelo a Cupolo nella provincia di Benevento,Sant'Angelo a Cupolo – MappaPosizione del comune di Sant'Angelo a Cupolo nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
