Cusano Mutri comune,Cusano Mutri comune.1
,
Cusano Mutri – VedutaVista del centro storico da est,Cusano Mutri – VedutaVista del centro storico da est
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Pietro Crocco (lista civica Uniti per Cusano 2.0) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,41°20′20″N 14°30′31″E
Altitudine,475 m s.l.m.
Superficie,"58,86 km²"
Abitanti,3 727[2] (30-11-2025)
Densità,"63,32 ab./km²"
Frazioni,"Bocca della Selva, Civitella Licinio"
Comuni confinanti,"Cerreto Sannita, Faicchio, Gioia Sannitica (CE), Guardiaregia (CB), Piedimonte Matese (CE), Pietraroja, San Lorenzello, San Potito Sannitico (CE)"
Altre informazioni,Altre informazioni
Cod. postale,82033
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062026
Cod. catastale,D230
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 935 GG[4]"
Nome abitanti,"cusanesi (cusanari, dialetto locale)"
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Cusano Mutri,Cusano Mutri
Cusano Mutri – MappaPosizione del comune di Cusano Mutri nella provincia di Benevento,Cusano Mutri – MappaPosizione del comune di Cusano Mutri nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
