Faicchio comune,Faicchio comune.1
,
"Faicchio – VedutaVista del centro storico, dal convento di San Pasquale","Faicchio – VedutaVista del centro storico, dal convento di San Pasquale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Nino Lombardi (Forza Italia) dal 26-5-2014
Territorio,Territorio
Coordinate,41°17′N 14°29′E
Altitudine,175 m s.l.m.
Superficie,"43,99 km²"
Abitanti,3 162[1] (30-11-2025)
Densità,"71,88 ab./km²"
Frazioni,Massa (elenco delle contrade)
Comuni confinanti,"Cusano Mutri, Gioia Sannitica (CE), Puglianello, Ruviano (CE), San Lorenzello, San Salvatore Telesino"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062029
Cod. catastale,D469
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 389 GG[3]"
Nome abitanti,faicchiani
Patrono,san Giovanni Battista
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Faicchio,Faicchio
Faicchio – MappaPosizione del comune di Faicchio nella provincia di Benevento.,Faicchio – MappaPosizione del comune di Faicchio nella provincia di Benevento.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
